iter	Passed	Remaining
0	0	35
1	0	34
2	1	33
3	1	35
4	2	38
5	3	47
6	4	54
7	4	51
8	4	48
9	5	45
10	5	43
11	5	41
12	6	40
13	6	39
14	7	42
15	7	41
16	8	40
17	8	39
18	8	38
19	9	37
20	9	36
21	9	35
22	10	34
23	10	33
24	10	32
25	11	32
26	11	31
27	12	31
28	13	31
29	13	31
30	13	30
31	14	30
32	14	29
33	15	30
34	16	29
35	16	29
36	16	28
37	17	28
38	17	27
39	17	26
40	18	26
41	18	25
42	18	25
43	19	24
44	19	24
45	20	23
46	20	23
47	20	22
48	21	22
49	21	21
50	21	21
51	22	20
52	22	20
53	23	19
54	23	19
55	23	18
56	24	18
57	24	17
58	24	17
59	25	16
60	25	16
61	25	15
62	26	15
63	26	14
64	26	14
65	27	14
66	27	13
67	27	13
68	28	12
69	28	12
70	29	11
71	29	11
72	29	11
73	30	10
74	30	10
75	30	9
76	31	9
77	31	8
78	32	8
79	33	8
80	33	7
81	33	7
82	34	7
83	34	6
84	35	6
85	35	5
86	35	5
87	36	4
88	36	4
89	36	4
90	37	3
91	37	3
92	38	2
93	38	2
94	38	2
95	39	1
96	39	1
97	39	0
98	40	0
99	40	0
