iter	Passed	Remaining
0	57	57507
1	58	28955
2	58	19412
3	58	14631
4	59	11784
5	59	9873
6	59	8511
7	60	7493
8	60	6710
9	61	6069
10	61	5549
11	62	5111
12	62	4745
13	62	4430
14	63	4156
15	63	3915
16	64	3705
17	64	3513
18	64	3341
19	65	3186
20	65	3051
21	65	2930
22	66	2816
23	66	2711
24	67	2645
25	68	2554
26	68	2470
27	68	2392
28	69	2319
29	69	2250
30	69	2186
31	70	2127
32	70	2075
33	71	2019
34	71	1969
35	71	1922
36	72	1879
37	72	1835
38	72	1796
39	73	1760
40	73	1722
41	74	1689
42	74	1657
43	74	1628
44	75	1596
45	75	1567
46	75	1538
47	76	1510
48	76	1486
49	76	1461
50	77	1437
51	77	1413
52	78	1393
53	78	1371
54	78	1350
55	78	1330
56	79	1310
57	79	1291
58	79	1272
59	80	1255
60	80	1238
61	80	1221
62	81	1206
63	81	1191
64	81	1177
65	82	1163
66	82	1149
67	82	1136
68	83	1123
69	83	1110
70	83	1098
71	84	1085
72	84	1073
73	84	1061
74	85	1052
75	85	1041
76	85	1030
77	86	1020
78	86	1010
79	86	1000
80	87	990
81	87	980
82	87	969
83	88	960
84	88	951
85	88	942
86	88	933
87	89	925
88	89	917
89	89	908
90	90	901
91	90	893
92	90	887
93	91	880
94	91	873
95	92	866
96	92	859
97	92	855
98	93	848
99	93	843
100	94	837
101	94	831
102	94	825
103	95	820
104	95	814
105	95	808
106	96	803
107	96	798
108	96	792
109	97	786
110	97	781
111	98	777
112	98	771
113	98	766
114	98	761
115	99	757
116	99	751
117	99	746
118	100	741
119	100	737
120	100	732
121	101	727
122	101	723
123	101	719
124	102	715
125	102	712
126	102	706
127	103	702
128	103	699
129	103	695
130	104	691
131	104	687
132	104	683
133	105	680
134	105	676
135	105	672
136	106	669
137	106	665
138	106	662
139	107	658
140	107	655
141	107	651
142	108	648
143	108	645
144	108	641
145	109	638
146	109	635
147	109	632
148	110	629
149	110	626
150	110	623
151	111	620
152	111	617
153	111	614
154	112	612
155	112	609
156	112	606
157	113	604
158	113	601
159	114	598
160	114	595
161	114	592
162	114	590
163	115	588
164	115	585
165	116	583
166	116	580
167	116	578
168	117	575
169	117	573
170	117	570
171	118	568
172	118	566
173	118	563
174	119	561
175	119	559
176	119	557
177	120	555
178	120	553
179	121	551
180	121	548
181	121	546
182	121	544
183	122	542
184	122	539
185	122	537
186	123	535
187	123	533
188	123	531
189	124	529
190	124	527
191	124	525
192	125	523
193	125	521
194	125	519
195	126	518
196	126	516
197	126	514
198	127	512
199	127	510
200	127	508
201	128	506
202	128	505
203	129	503
204	129	502
205	129	500
206	130	498
207	130	496
208	130	494
209	131	492
210	131	491
211	131	489
212	132	488
213	132	486
214	132	484
215	133	482
216	133	481
217	133	479
218	134	478
219	134	476
220	134	474
221	134	472
222	135	471
223	135	469
224	136	468
225	136	467
226	136	465
227	136	463
228	137	462
229	137	460
230	137	459
231	138	457
232	138	456
233	139	455
234	139	453
235	139	452
236	140	451
237	140	449
238	140	448
239	141	447
240	141	445
241	141	444
242	142	442
243	142	441
244	142	440
245	143	439
246	143	438
247	144	437
248	144	436
249	145	435
250	145	433
251	145	432
252	145	431
253	146	429
254	146	428
255	146	427
256	147	425
257	147	424
258	147	423
259	148	422
260	148	420
261	148	419
262	149	418
263	149	417
264	150	416
265	150	415
266	150	413
267	151	412
268	151	411
269	151	410
270	152	409
271	152	408
272	152	406
273	153	406
274	153	404
275	153	403
276	154	402
277	154	401
278	154	400
279	155	398
280	155	397
281	155	396
282	156	395
283	156	394
284	156	393
285	157	392
286	157	391
287	157	390
288	158	389
289	158	388
290	158	386
291	159	385
292	159	384
293	159	383
294	160	382
295	160	381
296	161	382
297	161	381
298	162	380
299	162	379
300	162	378
301	163	377
302	163	376
303	163	375
304	164	374
305	164	373
306	164	372
307	165	370
308	165	369
309	165	369
310	166	368
311	166	367
312	166	366
313	167	365
314	167	364
315	167	363
316	168	362
317	168	361
318	168	360
319	169	359
320	169	358
321	169	357
